tilemap#Mods\Core\palette1.txt#
7,7,7,7,7,7,7,7,7,7;
8,7,7,7,8,8,7,7,7,7;
8,7,9,7,7,8,7,6,7,7;
8,8,7,7,6,8,8,7,7,7;
7,8,7,7,7,7,8,8,7,7;
7,7,9,8,8,7,9,7,7,7;
7,7,7,8,7,9,7,7,8,7;
7,7,6,8,7,7,6,7,8,8;
7,7,7,8,7,7,7,7,7,8;
7,7,7,7,7,7,7,7,7,8~os_grass1/
10,10,10,10,10,10,10,10,10,10;
10,10,11,10,10,9,10,10,9,10;
10,11,11,10,10,9,10,9,11,10;
10,10,10,10,9,9,10,10,10,10;
9,10,10,10,10,10,10,10,10,10;
10,9,9,10,11,10,11,11,10,10;
9,10,10,10,11,10,11,10,9,9;
10,10,11,10,10,9,10,10,9,10;
10,11,11,11,10,9,10,10,10,10;
10,10,10,10,10,10,10,10,10,10~liquid_water~impassable/
8,8,8,8,8,8,8,8,8,8;
8,8,7,10,7,8,8,8,8,8;
8,7,7,8,7,8,9,7,8,8;
8,9,7,7,7,7,7,7,7,8;
8,7,7,7,9,7,7,10,7,8;
8,7,7,7,7,7,7,8,7,8;
8,7,7,8,7,7,8,8,7,8;
8,8,7,10,7,7,9,8,7,8;
8,8,8,8,8,7,7,7,7,8;
8,8,8,8,8,8,8,8,8,8~os_grass2/
3,3,3,3,3,3,3,3,3,3;
3,2,2,2,2,2,2,2,2,3;
3,2,2,2,2,2,2,2,2,3;
3,2,2,2,2,2,2,2,2,3;
3,2,2,2,2,2,2,2,2,3;
3,2,2,2,2,2,2,2,2,3;
3,2,2,2,2,2,2,2,2,3;
3,2,2,2,2,2,2,2,2,3;
3,2,2,2,2,2,2,2,2,3;
3,3,3,3,3,3,3,3,3,3
~is_factorytile/
2,2,2,2,2,2,2,2,2,2;
2,2,2,2,2,2,2,2,2,2;
2,2,3,3,3,3,3,3,2,2;
2,2,3,3,3,3,3,3,2,2;
2,2,3,3,3,3,3,3,2,2;
2,2,3,3,3,3,3,3,2,2;
2,2,3,3,3,3,3,3,2,2;
2,2,3,3,3,3,3,3,2,2;
2,2,2,2,2,2,2,2,2,2;
2,2,2,2,2,2,2,2,2,2
~imp_factorywall~impassable/
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1;
-1,-1,-1,-1,-1,4,4,4,4,-1;
-1,-1,-1,-1,4,4,8,8,4,-1;
-1,-1,-1,4,9,4,4,8,4,-1;
-1,-1,4,4,4,4,4,8,4,-1;
-1,-1,4,4,4,4,4,8,4,-1;
-1,-1,-1,4,9,4,4,8,4,-1;
-1,-1,-1,-1,4,4,8,8,4,-1;
-1,-1,-1,-1,-1,4,4,4,4,-1;
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1~player/
6,6,6,6,6,6,6,6,5,6;
5,6,6,6,6,6,6,5,6,6;
6,5,6,6,6,6,6,5,6,6;
6,5,5,6,5,5,6,6,5,6;
6,6,5,6,5,6,6,6,6,6;
6,6,6,6,6,6,6,6,6,6;
6,5,6,6,6,6,5,6,6,6;
6,6,5,5,6,6,5,6,6,6;
6,5,6,6,6,6,6,5,6,6;
6,6,6,6,6,6,6,5,6,6
~os_sand1/
2,2,2,5,4,4,4,5,2,2;
2,2,2,5,4,4,4,5,2,2;
2,2,2,5,4,4,4,5,2,2;
2,2,2,5,4,7,4,5,2,2;
2,2,2,5,5,5,5,5,2,2;
2,2,2,5,5,5,5,5,2,2;
2,2,2,5,4,7,4,5,2,2;
2,2,2,5,4,4,4,5,2,2;
2,2,2,5,4,4,4,5,2,2;
2,2,2,5,4,4,4,5,2,2
~is_factorydoor
